order_id,order_date,customer_name,product_name,category,region,sales_channel,customer_segment,payment_method,salesperson,quantity,unit_price,discount_percent,rating
ORD-00019,N/A,Koperasi Sejahtera,External SSD 1TB,electronics,DKI Jakarta,Offline,SME,Transfer Bank,Ahmad fauzi,-1,1112095,21,2.1
ORD-00020,2023-10-09,PT Global Digital,wireless mouse,furniture,Sulawesi Selatan,Direct Sales,Retail,Kartu Kredit,Riko Pratama,39,417625,16,3.3
ORD-00021,2024-11-28,PT Global Digital,Laptop Pro X1,Accessories,jawa barat,e-commerce,Corporate,kartu kredit,Fajar Kurniawan,20,8535670,9,
ORD-00022,20/10/2024,PT Teknologi Nusantara,Noise Cancelling Headset,electronics,JAWA TIMUR,Online,CORPORATE,transfer bank,Dewi Lestari,30,1088221,,1.7
ORD-00023,2023-01-02,Toko Elektronik Sukses,Desk lamp,PERIPHERALS,Jawa Timur,OFFLINE,CORPORATE,COD,Dewi Lestari,0,317837,20,3.8
ORD-00024,2025-04-28,PT Teknologi Nusantara,Laptop Pro X1,Peripherals,JAWA TIMUR,OFFLINE,Government,cod,Budi Santoso,9,10998543,N/A,3.5
ORD-00025,05-25-2025,CV Karya Indah,external ssd,accessories,DKI Jakarta,direct sales,sme,transfer bank,Dewi Lestari,32,Rp 917943,7,4.6
ORD-00026,2025-08-14,Bapak Joko Widodo,Mechanical KEYBOARD,Furniture,Sumatera Utara,Offline,SME,qris,budi santoso,,Rp 709826,,2.5
ORD-00027,2024-08-01,UD Sentosa,Mechanical KEYBOARD,furniture,Sulawesi Selatan,OFFLINE,sme,COD,Riko Pratama,43,"755359,00",4,
ORD-00028,2024-07-11,PT Teknologi Nusantara,Laptop Pro X1,Peripherals,JAWA TIMUR,online,sme,QRIS,Budi Santoso,21,"8411286,00",26,1.3
ORD-00029,2023-10-05,PT Global Digital,wireless mouse,Accessories,Jawa Timur,Online,Retail,COD,Dewi Lestari,31,445857,8,N/A
ORD-00030,2025-04-03,Bapak Joko Widodo,Noise Cancelling Headset,electronics,Jawa Timur,Online,CORPORATE,qris,SITI RAHAYU,41,,19,6.5
ORD-00031,12/07/2023,PT Teknologi Nusantara,4k monitor,PERIPHERALS,Jawa Timur,Direct Sales,Retail,qris,Ahmad fauzi,30,3729888,20,6.5
ORD-00032,19/08/2023,PT Global Digital,Gaming chair,electronics,jawa barat,OFFLINE,Corporate,transfer bank,Ahmad fauzi,25,3431334,,
ORD-00033,2024-09-25,Ibu Sari Dewi,Gaming Chair,Electronics,Sulawesi Selatan,OFFLINE,Corporate,COD,SITI RAHAYU,31,2867444,9,2.0
ORD-00034,2024-05-08,-,external ssd,PERIPHERALS,JAWA TIMUR,Direct Sales,government,cod,Riko Pratama,13,"961139,00",5,2.9
ORD-00035,01/05/2023,PT Maju Bersama,Webcam hd,electronics,Jawa Timur,OFFLINE,CORPORATE,COD,budi santoso,9,430177,30,4.0
ORD-00036,08-04-2024,CV Karya Indah,Desk Lamp LED,accessories,DKI JAKARTA,direct sales,government,QRIS,Budi Santoso,26,423595,4,N/A
ORD-00037,2025-07-10,UD Sentosa,4k monitor,Accessories,Sulawesi Selatan,e-commerce,sme,cod,Riko Pratama,40,"3568391,00",20,1.3
ORD-00038,2023-05-23,PT Teknologi Nusantara,Noise Cancelling Headset,Electronics,JAWA TIMUR,direct sales,sme,transfer bank,Budi Santoso,30,"1514347,00",20,4.7
ORD-00039,2025-12-27,PT Maju Bersama,USB-C Hub,electronics,DKI Jakarta,Offline,Retail,QRIS,Riko Pratama,19,Rp 320415,30,3.0
ORD-00040,20251019,-,4k monitor,PERIPHERALS,Bali,E-Commerce,Retail,Kartu Kredit,Dewi Lestari,-1,"4570119,00",5,2.8
ORD-00041,,Bapak Joko Widodo,4k monitor,accessories,Jawa Timur,direct sales,government,qris,budi santoso,22,3965257.37,26,2.8
ORD-00042,06-20-2025,-,Mechanical KEYBOARD,Electronics,Sulawesi Selatan,direct sales,SME,Transfer Bank,Dewi Lestari,41,586156,29,3.8
ORD-00043,N/A,UD Sentosa,Desk lamp,Accessories,DKI Jakarta,E-Commerce,Retail,qris,Siti Rahayu,42,440155,,4.9
ORD-00044,09-09-2024,UD Sentosa,Mechanical KEYBOARD,Accessories,Bali,online,Corporate,transfer bank,SITI RAHAYU,19,710754.76,15,3.2
ORD-00045,04-28-2024,N/A,external ssd,furniture,DKI JAKARTA,Direct Sales,retail,COD,Fajar Kurniawan,3,"1037353,00",,3.6
ORD-00046,,Yayasan Pendidikan Maju,USB-C Hub,PERIPHERALS,Jawa Timur,direct sales,Corporate,cod,Budi Santoso,10,359689,22,
ORD-00047,2023-12-03,Bapak Joko Widodo,Mechanical KEYBOARD,PERIPHERALS,DKI JAKARTA,Online,Corporate,COD,Riko Pratama,7,803588,N/A,6.5
ORD-00048,,Koperasi Sejahtera,wireless mouse,furniture,DKI Jakarta,OFFLINE,SME,QRIS,Ahmad Fauzi,40,439745,14,2.0
ORD-00049,05-15-2025,Yayasan Pendidikan Maju,Desk Lamp LED,Furniture,Jawa Timur,direct sales,government,transfer bank,SITI RAHAYU,0,324264,11,3.8
ORD-00049,08/06/2025,Bapak Joko Widodo,Mechanical KEYBOARD,electronics,Jawa Barat,Online,sme,transfer bank,Dewi Lestari,40,Rp 754302,26,4.6
ORD-00051,2024-12-14,N/A,USB C Hub,Electronics,Bali,Direct Sales,Government,Kartu Kredit,Riko Pratama,abc,275220,8,
ORD-00052,20251222,Ibu Sari Dewi,Desk Lamp LED,PERIPHERALS,Jawa Timur,direct sales,Corporate,QRIS,Dewi Lestari,36,378969,3,4.0
ORD-00053,03/11/2023,Yayasan Pendidikan Maju,wireless mouse,Peripherals,Sumatera Utara,direct sales,Retail,kartu kredit,Fajar Kurniawan,30,351452,30,3.0
ORD-00054,2025-02-27,PT Teknologi Nusantara,USB-C Hub,furniture,DKI JAKARTA,Direct Sales,SME,QRIS,SITI RAHAYU,27,275874,,1.4
ORD-00055,07/11/2023,UD Sentosa,wireless mouse,Electronics,JAWA TIMUR,E-Commerce,retail,Kartu Kredit,Ahmad fauzi,39,338364.10,25,4.3
ORD-00056,2025-05-26,Ibu Sari Dewi,External SSD 1TB,PERIPHERALS,DKI Jakarta,Online,CORPORATE,QRIS,Ahmad Fauzi,43,"881209,00",18,2.1
ORD-00057,2025-04-20,,4K Monitor,Peripherals,DKI JAKARTA,direct sales,government,Kartu Kredit,Ahmad fauzi,43,4711015,15,3.7
ORD-00058,2025-11-19,PT Global Digital,Mechanical Keyboard,Peripherals,jawa barat,online,Corporate,QRIS,Riko Pratama,25,692431,19,
ORD-00059,14/07/2024,Ibu Sari Dewi,external ssd,Accessories,JAWA TIMUR,direct sales,retail,qris,budi santoso,21,834700.41,21,1.4
ORD-00060,2024-11-25,CV Karya Indah,wireless mouse,Furniture,Sulawesi Selatan,Online,government,Kartu Kredit,SITI RAHAYU,4,385072,18,3.6
ORD-00061,22/10/2025,PT Maju Bersama,external ssd,PERIPHERALS,Jawa Timur,E-Commerce,retail,qris,Nurul Hidayah,,1093257,150,2.2
ORD-00062,2023-07-14,PT Maju Bersama,USB-C Hub,furniture,Jawa Timur,online,Retail,Kartu Kredit,Nurul Hidayah,11,269413.60,N/A,6.5
ORD-00063,2024-04-25,PT Maju Bersama,Mechanical Keyboard,electronics,DKI JAKARTA,e-commerce,sme,cod,SITI RAHAYU,23,740421,16,N/A
ORD-00064,16/01/2023,PT Maju Bersama,Webcam HD,electronics,Sumatera Utara,online,CORPORATE,transfer bank,budi santoso,12,598955,,
ORD-00065,2024-02-13,UD Sentosa,Laptop Pro X1,accessories,Jawa Timur,Direct Sales,SME,qris,SITI RAHAYU,-1,"9427032,00",29,4.4
ORD-00066,17/02/2023,Toko Elektronik Sukses,Webcam hd,Peripherals,JAWA TIMUR,E-Commerce,government,COD,budi santoso,34,617819,30,1.6
ORD-00067,N/A,Bapak Joko Widodo,Noise Cancelling Headset,Furniture,Jawa Timur,online,sme,cod,Fajar Kurniawan,37,,20,1.3
ORD-00068,01-12-2023,Yayasan Pendidikan Maju,Gaming Chair,Electronics,jawa barat,Offline,CORPORATE,cod,Ahmad fauzi,abc,3437411,16,6.5
ORD-00069,2023-06-23,Ibu Sari Dewi,USB C Hub,Accessories,jawa barat,direct sales,Government,Transfer Bank,Ahmad fauzi,42,323067.04,16,
ORD-00070,2025-07-10,Ibu Sari Dewi,Laptop Pro X2,Electronics,jawa barat,Offline,government,Kartu Kredit,Nurul Hidayah,abc,8216789,4,4.9
ORD-00071,2023-11-22,PT Maju Bersama,Desk lamp,Peripherals,Kalimantan Timur,e-commerce,government,QRIS,Nurul Hidayah,24,338250,30,1.9
ORD-00072,25/12/2023,Toko Elektronik Sukses,4K Monitor,Electronics,jawa barat,online,SME,QRIS,Ahmad Fauzi,11,Rp 4222803,7,6.5
ORD-00073,2024-07-17,Yayasan Pendidikan Maju,External SSD 1TB,electronics,DKI JAKARTA,OFFLINE,government,cod,Ahmad fauzi,-1,782279,N/A,3.2
ORD-00074,N/A,Toko Elektronik Sukses,4K Monitor,electronics,Jawa Timur,online,CORPORATE,cod,Nurul Hidayah,,5313991,12,2.5
ORD-00075,2024-12-27,PT Teknologi Nusantara,Laptop Pro X2,Peripherals,jawa barat,online,Government,Transfer Bank,Riko Pratama,46,6822318,,3.2
ORD-00076,26/11/2024,PT Maju Bersama,4K Monitor,electronics,Sumatera Utara,E-Commerce,Corporate,Transfer Bank,Dewi Lestari,0,4409641,20,3.9
ORD-00077,2024-02-17,Bapak Joko Widodo,wireless mouse,Accessories,Bali,e-commerce,Government,Kartu Kredit,Nurul Hidayah,33,432833,12,6.5
ORD-00078,2025-08-23,,4K Monitor,PERIPHERALS,DKI Jakarta,Online,government,kartu kredit,Ahmad Fauzi,12,4990000,9,1.8
ORD-00079,06-28-2024,Toko Elektronik Sukses,Webcam hd,furniture,Sulawesi Selatan,direct sales,CORPORATE,Transfer Bank,Dewi Lestari,42,623829,12,4.8
ORD-00080,2024-10-27,Ibu Sari Dewi,headset,PERIPHERALS,Sulawesi Selatan,E-Commerce,Corporate,qris,Siti Rahayu,19,1156752,150,1.7
ORD-00081,2025-12-22,N/A,wireless mouse,furniture,Kalimantan Timur,Online,Corporate,qris,budi santoso,0,398666,4,3.6
ORD-00082,2025-03-17,Koperasi Sejahtera,Wireless Mouse,Furniture,DKI JAKARTA,Direct Sales,government,cod,Siti Rahayu,21,448091,5,4.7
ORD-00083,2023-02-15,Yayasan Pendidikan Maju,USB C Hub,Accessories,Bali,E-Commerce,sme,COD,Siti Rahayu,29,337471.85,10,1.3
ORD-00084,2023-08-01,PT Teknologi Nusantara,Noise Cancelling Headset,Furniture,jawa barat,OFFLINE,Corporate,COD,Ahmad Fauzi,37,1549807,28,2.6
ORD-00085,2024-08-22,PT Teknologi Nusantara,4k monitor,furniture,Bali,Offline,Government,kartu kredit,Siti Rahayu,9,"4594351,00",4,-1
ORD-00086,2024-02-09,PT Global Digital,Desk Lamp LED,Furniture,DKI Jakarta,Direct Sales,retail,kartu kredit,Nurul Hidayah,36,361537,16,4.8
ORD-00087,09/10/2025,Koperasi Sejahtera,Desk lamp,PERIPHERALS,Bali,Online,Retail,Kartu Kredit,Budi Santoso,50,425408,20,4.8
ORD-00088,2024-08-15,UD Sentosa,Mechanical KEYBOARD,electronics,DKI JAKARTA,Offline,Retail,QRIS,Ahmad fauzi,39,Rp 753468,11,1.5
ORD-00089,2023-02-02,CV Karya Indah,Laptop Pro X2,Accessories,DKI JAKARTA,Offline,CORPORATE,cod,Dewi Lestari,25,-9999,10,3.9
ORD-00090,20240915,Yayasan Pendidikan Maju,Webcam hd,accessories,DKI JAKARTA,E-Commerce,sme,Transfer Bank,Siti Rahayu,14,429141,28,2.9
ORD-00091,2024-01-19,CV Karya Indah,4k monitor,Furniture,Kalimantan Timur,Direct Sales,SME,kartu kredit,Budi Santoso,24,4171333,,3.5
ORD-00092,2025-09-13,UD Sentosa,4K Monitor,furniture,jawa barat,Direct Sales,government,QRIS,Dewi Lestari,3,4059385,14,3.1
ORD-00093,2024-08-27,Toko Elektronik Sukses,Noise Cancelling Headset,furniture,Bali,E-Commerce,government,cod,Fajar Kurniawan,22,1209924,N/A,3.5
ORD-00094,2025-04-02,PT Teknologi Nusantara,Gaming chair,Accessories,Jawa Barat,direct sales,Government,qris,Ahmad Fauzi,45,2857454,13,3.0
ORD-00095,2024-06-06,N/A,Wireless Mouse,Furniture,Sulawesi Selatan,OFFLINE,government,cod,Nurul Hidayah,35,,,2.1
ORD-00096,2024-08-12,Bapak Joko Widodo,Gaming Chair,electronics,Sumatera Utara,E-Commerce,CORPORATE,COD,Ahmad fauzi,47,3042868,,-1
ORD-00097,N/A,PT Maju Bersama,Desk Lamp LED,Peripherals,jawa barat,direct sales,CORPORATE,cod,Dewi Lestari,45,420979,7,3.1
ORD-00098,N/A,Toko Elektronik Sukses,4k monitor,PERIPHERALS,DKI JAKARTA,Offline,Government,Transfer Bank,Nurul Hidayah,31,4947413,9,4.1
ORD-00099,N/A,Yayasan Pendidikan Maju,Wireless Mouse,Furniture,JAWA TIMUR,online,Retail,qris,Ahmad fauzi,3,-9999,10,3.6
ORD-00100,2025-08-21,Yayasan Pendidikan Maju,USB-C Hub,accessories,Kalimantan Timur,OFFLINE,Corporate,kartu kredit,Ahmad Fauzi,12,334707,24,
ORD-00101,2024-06-08,Toko Elektronik Sukses,Webcam hd,PERIPHERALS,Jawa Timur,e-commerce,Corporate,QRIS,Ahmad Fauzi,25,485419,18,2.0
ORD-00102,12/05/2025,Koperasi Sejahtera,4K Monitor,accessories,Kalimantan Timur,online,SME,transfer bank,Siti Rahayu,15,4315455.21,150,6.5
ORD-00103,02-02-2025,CV Karya Indah,Webcam HD,Accessories,Bali,Offline,sme,kartu kredit,Siti Rahayu,33,454962,16,1.8
ORD-00104,2025-01-18,PT Teknologi Nusantara,Webcam hd,accessories,Jawa Barat,direct sales,Government,qris,Ahmad fauzi,20,482159,6,2.7
ORD-00105,24/11/2023,PT Teknologi Nusantara,Wireless Mouse,Peripherals,DKI JAKARTA,Online,CORPORATE,qris,Ahmad Fauzi,24,,29,3.7
ORD-00106,15/05/2023,CV Karya Indah,wireless mouse,Peripherals,DKI Jakarta,e-commerce,Government,COD,Budi Santoso,35,424088,11,4.7
ORD-00107,20/08/2023,Bapak Joko Widodo,4k monitor,Electronics,Sumatera Utara,OFFLINE,Corporate,Kartu Kredit,Fajar Kurniawan,4,4204757,N/A,1.2
ORD-00108,2025-09-08,Bapak Joko Widodo,Gaming chair,PERIPHERALS,Bali,Direct Sales,retail,transfer bank,Ahmad Fauzi,18,Rp 3068334,5,3.2
ORD-00109,2023-09-16,Ibu Sari Dewi,Mechanical KEYBOARD,PERIPHERALS,JAWA TIMUR,e-commerce,Government,transfer bank,SITI RAHAYU,0,566914,1,2.7
ORD-00110,2025-12-27,PT Teknologi Nusantara,Gaming Chair,Accessories,jawa barat,Offline,sme,kartu kredit,Siti Rahayu,18,,,3.9
ORD-00111,20/12/2023,PT Teknologi Nusantara,Laptop Pro X2,electronics,Jawa Barat,OFFLINE,retail,Kartu Kredit,Ahmad fauzi,26,10095934,17,2.0
ORD-00112,2023-10-28,Yayasan Pendidikan Maju,4K Monitor,accessories,jawa barat,OFFLINE,government,kartu kredit,SITI RAHAYU,10,5322992,13,2.3
ORD-00113,2025-06-06,Koperasi Sejahtera,headset,PERIPHERALS,Kalimantan Timur,direct sales,sme,cod,Ahmad Fauzi,35,1493618.72,30,4.4
ORD-00114,2023-04-17,PT Maju Bersama,Wireless Mouse,Electronics,JAWA TIMUR,online,retail,Kartu Kredit,Ahmad Fauzi,4,-9999,21,3.1
ORD-00115,2025-03-08,Toko Elektronik Sukses,Gaming Chair,electronics,Jawa Barat,e-commerce,Government,Kartu Kredit,Siti Rahayu,-1,2614255,11,N/A
ORD-00116,2024-01-21,Toko Elektronik Sukses,Mechanical Keyboard,Electronics,Jawa Timur,e-commerce,SME,qris,Nurul Hidayah,11,"661021,00",27,
ORD-00117,2025-11-02,Toko Elektronik Sukses,Gaming chair,accessories,Kalimantan Timur,Online,Corporate,transfer bank,Nurul Hidayah,2,"3061851,00",22,1.3
ORD-00118,07-08-2023,PT Teknologi Nusantara,Mechanical KEYBOARD,PERIPHERALS,JAWA TIMUR,online,Corporate,kartu kredit,Budi Santoso,22,830329,24,N/A
ORD-00119,2024-04-23,Ibu Sari Dewi,wireless mouse,furniture,JAWA TIMUR,online,SME,Kartu Kredit,Fajar Kurniawan,18,417181,12,
ORD-00120,2025-09-17,PT Maju Bersama,Gaming Chair,Peripherals,DKI Jakarta,Offline,Government,qris,Ahmad fauzi,2,2370290,10,2.2
ORD-00121,2024-05-09,UD Sentosa,external ssd,Accessories,Bali,online,SME,QRIS,Ahmad Fauzi,5,909496,2,2.0
ORD-00122,10-13-2024,PT Teknologi Nusantara,Webcam HD,accessories,Jawa Timur,online,CORPORATE,Transfer Bank,SITI RAHAYU,22,,19,3.4
ORD-00123,05-27-2024,,Noise Cancelling Headset,furniture,jawa barat,E-Commerce,sme,COD,budi santoso,8,1079880.03,,1.1
ORD-00124,2025-05-08,Yayasan Pendidikan Maju,Webcam HD,accessories,Kalimantan Timur,Offline,SME,cod,Ahmad Fauzi,10,514018,19,
ORD-00125,2023-11-20,Koperasi Sejahtera,4k monitor,Electronics,jawa barat,Offline,Corporate,COD,budi santoso,42,5390303,25,1.4
ORD-00126,2025-09-05,PT Teknologi Nusantara,external ssd,Accessories,DKI JAKARTA,Direct Sales,SME,cod,Fajar Kurniawan,2,907188.94,26,1.6
ORD-00127,2024-02-10,UD Sentosa,Webcam HD,accessories,jawa barat,direct sales,Corporate,cod,Ahmad fauzi,46,505200,5,4.0
ORD-00128,2025-11-14,Koperasi Sejahtera,Laptop Pro X2,furniture,DKI JAKARTA,OFFLINE,SME,QRIS,Ahmad Fauzi,,8710694,0,2.1
ORD-00129,09/02/2024,CV Karya Indah,Gaming chair,Peripherals,Sulawesi Selatan,online,government,kartu kredit,Dewi Lestari,34,2678766,12,2.4
ORD-00130,12/03/2023,-,Desk Lamp LED,Peripherals,DKI Jakarta,Direct Sales,Corporate,COD,Riko Pratama,33,330195,5,3.8
ORD-00131,,Yayasan Pendidikan Maju,external ssd,Furniture,DKI JAKARTA,E-Commerce,Government,QRIS,budi santoso,1,1086847.17,16,3.7
ORD-00132,2024-04-18,-,headset,Furniture,Jawa Timur,Online,retail,transfer bank,Budi Santoso,50,1423529,16,2.1
ORD-00133,2024-01-15,UD Sentosa,external ssd,Electronics,DKI JAKARTA,OFFLINE,SME,Kartu Kredit,Dewi Lestari,abc,"772824,00",-5,
ORD-00134,2025-06-18,CV Karya Indah,4k monitor,Furniture,Bali,online,retail,COD,Budi Santoso,35,4838513,,4.9
ORD-00135,2025-06-27,CV Karya Indah,4k monitor,Electronics,Kalimantan Timur,online,Government,COD,Ahmad Fauzi,44,4572594,13,
ORD-00136,03/12/2023,Toko Elektronik Sukses,Webcam hd,electronics,jawa barat,direct sales,sme,kartu kredit,Fajar Kurniawan,30,509138,17,2.7
ORD-00137,02-21-2023,Yayasan Pendidikan Maju,Desk Lamp LED,PERIPHERALS,Sulawesi Selatan,online,sme,kartu kredit,Budi Santoso,30,466954,0,
ORD-00138,2024-11-21,CV Karya Indah,Desk Lamp LED,Furniture,Kalimantan Timur,Offline,government,transfer bank,Siti Rahayu,26,436894,150,1.0
ORD-00139,2025-03-16,CV Karya Indah,External SSD 1TB,accessories,Jawa Barat,Online,government,Kartu Kredit,SITI RAHAYU,25,766092,28,6.5
ORD-00140,21/04/2025,N/A,USB-C Hub,Peripherals,Sulawesi Selatan,Online,Government,cod,budi santoso,27,344395,-5,3.4
ORD-00141,24/10/2025,PT Global Digital,Laptop Pro X2,Furniture,Sumatera Utara,E-Commerce,Corporate,COD,Nurul Hidayah,50,,6,1.8
ORD-00142,20230901,PT Maju Bersama,External SSD 1TB,accessories,JAWA TIMUR,Offline,retail,cod,Fajar Kurniawan,21,1097538,17,N/A
ORD-00143,10/09/2024,PT Teknologi Nusantara,Gaming chair,Peripherals,Jawa Barat,E-Commerce,retail,Transfer Bank,Budi Santoso,33,3222535,17,2.1
ORD-00144,20250724,CV Karya Indah,Webcam HD,Furniture,Sulawesi Selatan,Direct Sales,SME,Kartu Kredit,Riko Pratama,16,656403,19,3.7
ORD-00145,2025-12-09,PT Maju Bersama,Laptop Pro X1,Furniture,Jawa Barat,online,sme,kartu kredit,Nurul Hidayah,9,,24,4.2
ORD-00146,2025-03-12,PT Maju Bersama,Gaming chair,Peripherals,DKI JAKARTA,direct sales,government,Transfer Bank,Ahmad fauzi,,3183769,23,4.4
ORD-00147,N/A,PT Maju Bersama,wireless mouse,furniture,DKI Jakarta,online,Retail,qris,Dewi Lestari,-1,380019,21,1.9
ORD-00148,2025-08-01,Koperasi Sejahtera,Mechanical KEYBOARD,Peripherals,DKI JAKARTA,E-Commerce,CORPORATE,kartu kredit,Siti Rahayu,19,760362,18,6.5
ORD-00149,06-21-2025,PT Teknologi Nusantara,external ssd,Accessories,DKI Jakarta,Online,SME,Transfer Bank,Dewi Lestari,1,"1015787,00",23,3.1
ORD-00149,2024-12-12,CV Karya Indah,Wireless Mouse,Furniture,Kalimantan Timur,Offline,Retail,COD,Nurul Hidayah,48,368450,12,1.2
ORD-00151,N/A,Koperasi Sejahtera,Desk Lamp LED,electronics,jawa barat,e-commerce,government,kartu kredit,Ahmad fauzi,9,324705,14,1.5
ORD-00152,27/05/2025,Bapak Joko Widodo,USB C Hub,electronics,DKI JAKARTA,E-Commerce,Corporate,Kartu Kredit,Ahmad Fauzi,39,343920,7,2.6
ORD-00153,2023-03-04,Koperasi Sejahtera,Noise Cancelling Headset,Electronics,JAWA TIMUR,direct sales,retail,Kartu Kredit,Ahmad fauzi,50,1454204,20,3.3
ORD-00154,2023-01-15,Bapak Joko Widodo,Laptop Pro X1,Peripherals,Sumatera Utara,direct sales,Government,Kartu Kredit,budi santoso,-1,8478744,21,1.9
ORD-00155,2025-08-02,Ibu Sari Dewi,USB-C Hub,Electronics,Bali,OFFLINE,CORPORATE,cod,SITI RAHAYU,25,"313971,00",20,3.2
ORD-00156,2024-03-01,CV Karya Indah,wireless mouse,accessories,Sulawesi Selatan,direct sales,government,kartu kredit,SITI RAHAYU,,416244,15,3.3
ORD-00157,2023-03-08,Yayasan Pendidikan Maju,External SSD 1TB,Accessories,Kalimantan Timur,Online,retail,qris,budi santoso,48,Rp 986203,11,
ORD-00158,2023-10-08,PT Maju Bersama,headset,electronics,DKI Jakarta,direct sales,Retail,Kartu Kredit,Budi Santoso,31,"1328481,00",10,
ORD-00159,2025-02-11,Yayasan Pendidikan Maju,USB-C Hub,Furniture,Jawa Timur,Direct Sales,Corporate,kartu kredit,SITI RAHAYU,9,285162,15,3.8
ORD-00160,2023-03-24,Toko Elektronik Sukses,Desk lamp,PERIPHERALS,Sumatera Utara,online,SME,transfer bank,Riko Pratama,45,492913.79,1,N/A
ORD-00161,06/06/2024,Koperasi Sejahtera,Gaming chair,Peripherals,DKI JAKARTA,online,government,Kartu Kredit,Dewi Lestari,6,3261000,0,3.8
ORD-00162,2024-07-12,PT Maju Bersama,Laptop Pro X1,Electronics,JAWA TIMUR,direct sales,SME,QRIS,SITI RAHAYU,7,"9256736,00",7,4.2
ORD-00163,N/A,CV Karya Indah,Gaming Chair,Peripherals,Jawa Timur,Direct Sales,Government,qris,Ahmad Fauzi,6,3099103,13,
ORD-00164,2024-04-04,Toko Elektronik Sukses,4K Monitor,PERIPHERALS,Sumatera Utara,OFFLINE,SME,transfer bank,Riko Pratama,0,3682539,13,3.6
ORD-00165,2024-07-16,PT Teknologi Nusantara,Laptop Pro X1,Accessories,DKI Jakarta,E-Commerce,Corporate,cod,Siti Rahayu,43,9112536,28,2.8
ORD-00166,2025-06-26,UD Sentosa,External SSD 1TB,electronics,Bali,Online,Government,Kartu Kredit,Siti Rahayu,49,747443,13,
ORD-00167,2025-09-26,-,External SSD 1TB,accessories,Kalimantan Timur,Offline,SME,Transfer Bank,Nurul Hidayah,40,1060735,,1.5
ORD-00168,2024-09-13,CV Karya Indah,4k monitor,Accessories,DKI Jakarta,E-Commerce,government,Kartu Kredit,Siti Rahayu,18,"5194279,00",19,2.7
ORD-00169,2024-07-21,Bapak Joko Widodo,Gaming chair,Peripherals,Jawa Timur,Offline,CORPORATE,kartu kredit,SITI RAHAYU,39,2625580,19,
ORD-00170,05-09-2024,UD Sentosa,External SSD 1TB,Electronics,DKI JAKARTA,E-Commerce,government,Transfer Bank,budi santoso,45,1111005,,2.3
ORD-00171,01-17-2024,Toko Elektronik Sukses,Mechanical Keyboard,Accessories,DKI JAKARTA,OFFLINE,SME,cod,Nurul Hidayah,5,"651100,00",16,
