order_id,order_date,order_year,order_month,order_month_name,order_quarter,customer_name,customer_segment,product_name,category,region,sales_channel,payment_method,salesperson,quantity,unit_price,discount_percent,discount_amount,gross_sales,net_sales,rating
ORD-01026,2023-01-09,2023,1,January,Q1,Ibu Sari Dewi,Government,Noise Cancelling Headset,Accessories,Jawa Timur,Online,Cod,Ahmad Fauzi,5,1374085,26.0,1786310,6870425,5084114,3.3
ORD-00653,2023-01-10,2023,1,January,Q1,UD Sentosa,Retail,Noise Cancelling Headset,Accessories,Sumatera Utara,Offline,Cod,Dewi Lestari,2,1223370,18.0,440413,2446740,2006327,4.4
ORD-01485,2023-01-13,2023,1,January,Q1,Bapak Joko Widodo,Government,External SSD 1TB,Accessories,Jawa Barat,Online,Transfer Bank,Riko Pratama,26,721928,0.0,0,18770128,18770128,2.3
ORD-00978,2023-01-14,2023,1,January,Q1,UD Sentosa,Government,Noise Cancelling Headset,Accessories,Jawa Barat,Online,Kartu Kredit,Fajar Kurniawan,26,1045056,0.0,0,27171456,27171456,3.9
ORD-00064,2023-01-16,2023,1,January,Q1,PT Maju Bersama,Corporate,Webcam HD,Electronics,Sumatera Utara,Online,Transfer Bank,Budi Santoso,12,598955,0.0,0,7187460,7187460,2.7
ORD-01480,2023-01-16,2023,1,January,Q1,Bapak Joko Widodo,Sme,Gaming Chair,Furniture,Kalimantan Timur,Online,Cod,Ahmad Fauzi,34,2480471,13.0,10963682,84336014,73372332,4.0
ORD-02148,2023-01-16,2023,1,January,Q1,PT Teknologi Nusantara,Corporate,Mechanical Keyboard,Peripherals,Jawa Barat,Offline,Qris,Ahmad Fauzi,7,761091,30.0,1598291,5327637,3729346,2.6
ORD-01116,2023-01-18,2023,1,January,Q1,Yayasan Pendidikan Maju,Sme,Desk Lamp LED,Furniture,Jawa Timur,Online,Qris,Siti Rahayu,9,326809,24.0,705907,2941281,2235374,4.7
ORD-00629,2023-01-18,2023,1,January,Q1,CV Karya Indah,Retail,Gaming Chair,Furniture,Sumatera Utara,Online,Transfer Bank,Ahmad Fauzi,3,2727927,10.0,818378,8183781,7365403,3.6
ORD-00798,2023-01-19,2023,1,January,Q1,PT Global Digital,Retail,USB-C Hub,Furniture,Sulawesi Selatan,Online,Qris,Dewi Lestari,50,241907,29.0,3507651,12095350,8587698,2.5
ORD-02326,2023-01-20,2023,1,January,Q1,PT Maju Bersama,Government,Webcam HD,Accessories,Jawa Timur,Offline,Transfer Bank,Dewi Lestari,44,585142,0.0,0,25746248,25746248,2.7
ORD-00501,2023-01-20,2023,1,January,Q1,Yayasan Pendidikan Maju,Sme,Webcam HD,Peripherals,Jawa Timur,Online,Transfer Bank,Fajar Kurniawan,6,609008,14.0,511567,3654048,3142481,2.4
ORD-01650,2023-01-21,2023,1,January,Q1,Koperasi Sejahtera,Retail,Webcam HD,Accessories,Jawa Barat,Offline,Cod,Fajar Kurniawan,26,64647600,8.0,134467008,1680837600,1546370592,4.9
ORD-01223,2023-01-21,2023,1,January,Q1,PT Teknologi Nusantara,Retail,Webcam HD,Furniture,Dki Jakarta,Online,Cod,Siti Rahayu,27,431339,25.0,2911538,11646153,8734615,1.5
ORD-02436,2023-01-22,2023,1,January,Q1,Bapak Joko Widodo,Corporate,External SSD 1TB,Electronics,Dki Jakarta,Offline,Cod,Budi Santoso,24,971783,23.0,5364242,23322792,17958550,2.9
ORD-01567,2023-01-23,2023,1,January,Q1,Toko Elektronik Sukses,Retail,Gaming Chair,Electronics,Sulawesi Selatan,Online,Cod,Ahmad Fauzi,32,3165073,22.0,22282114,101282336,79000222,3.2
ORD-01939,2023-01-24,2023,1,January,Q1,UD Sentosa,Corporate,Desk Lamp LED,Peripherals,Dki Jakarta,Online,Cod,Fajar Kurniawan,2,457221,0.0,0,914442,914442,4.6
ORD-01075,2023-01-25,2023,1,January,Q1,CV Karya Indah,Sme,Noise Cancelling Headset,Furniture,Bali,Offline,Kartu Kredit,Siti Rahayu,40,113337000,12.0,544017600,4533480000,3989462400,1.1
ORD-00890,2023-01-26,2023,1,January,Q1,Toko Elektronik Sukses,Government,Noise Cancelling Headset,Peripherals,Kalimantan Timur,Offline,Transfer Bank,Siti Rahayu,47,1538104,5.0,3614544,72290888,68676344,1.8
ORD-00602,2023-01-26,2023,1,January,Q1,PT Maju Bersama,Corporate,Desk Lamp LED,Furniture,Dki Jakarta,Online,Transfer Bank,Siti Rahayu,9,417825,10.0,376043,3760426,3384383,1.1
ORD-01926,2023-01-27,2023,1,January,Q1,CV Karya Indah,Sme,Laptop Pro X2,Electronics,Dki Jakarta,Offline,Cod,Ahmad Fauzi,13,7407220,0.0,0,96293860,96293860,3.8
ORD-01694,2023-01-28,2023,1,January,Q1,PT Teknologi Nusantara,Retail,Laptop Pro X1,Peripherals,Bali,Online,Kartu Kredit,Ahmad Fauzi,9,9633780,0.0,0,86704020,86704020,3.7
ORD-02020,2023-01-28,2023,1,January,Q1,PT Maju Bersama,Retail,Wireless Mouse,Electronics,Kalimantan Timur,Offline,Cod,Budi Santoso,30,387988,6.0,698378,11639640,10941262,1.6
ORD-00315,2023-01-28,2023,1,January,Q1,UD Sentosa,Retail,Noise Cancelling Headset,Peripherals,Jawa Timur,Offline,Transfer Bank,Dewi Lestari,34,1307223,25.0,11111396,44445582,33334186,3.7
ORD-01646,2023-02-01,2023,2,February,Q1,Toko Elektronik Sukses,Retail,Gaming Chair,Peripherals,Jawa Barat,Online,Transfer Bank,Siti Rahayu,32,3365872,27.0,29081134,107707904,78626770,3.2
ORD-00215,2023-02-01,2023,2,February,Q1,PT Teknologi Nusantara,Retail,Laptop Pro X2,Accessories,Bali,Offline,Qris,Siti Rahayu,33,7435635,15.0,36806393,245375955,208569562,2.8
ORD-01706,2023-02-01,2023,2,February,Q1,CV Karya Indah,Government,Gaming Chair,Accessories,Kalimantan Timur,Offline,Transfer Bank,Fajar Kurniawan,34,3468208,28.0,33017340,117919072,84901732,3.6
ORD-00439,2023-02-03,2023,2,February,Q1,PT Maju Bersama,Corporate,Mechanical Keyboard,Furniture,Sumatera Utara,Offline,Kartu Kredit,Riko Pratama,38,557735,10.0,2119393,21193930,19074537,3.3
ORD-00296,2023-02-03,2023,2,February,Q1,PT Global Digital,Sme,External SSD 1TB,Furniture,Sumatera Utara,Offline,Transfer Bank,Siti Rahayu,17,1123431,0.0,0,19098327,19098327,3.7
ORD-00010,2023-02-04,2023,2,February,Q1,Yayasan Pendidikan Maju,Retail,Webcam HD,Furniture,Bali,Offline,Cod,Siti Rahayu,23,640598,20.0,2946751,14733754,11787003,2.6
ORD-01668,2023-02-04,2023,2,February,Q1,Toko Elektronik Sukses,Government,Laptop Pro X1,Peripherals,Jawa Barat,Offline,Cod,Fajar Kurniawan,14,8525063,19.0,22676668,119350882,96674214,3.7
ORD-02051,2023-02-04,2023,2,February,Q1,Toko Elektronik Sukses,Retail,Mechanical Keyboard,Furniture,Jawa Timur,Offline,Qris,Dewi Lestari,5,550322,30.0,825483,2751610,1926127,4.0
ORD-01638,2023-02-04,2023,2,February,Q1,Ibu Sari Dewi,Government,Wireless Mouse,Peripherals,Dki Jakarta,Offline,Cod,Ahmad Fauzi,20,425869,15.0,1277607,8517380,7239773,3.1500000000000004
ORD-01013,2023-02-06,2023,2,February,Q1,-,Government,Gaming Chair,Accessories,Jawa Timur,Offline,Qris,Nurul Hidayah,41,294388800,27.0,3258884016,12069940800,8811056784,1.3
ORD-00721,2023-02-06,2023,2,February,Q1,PT Teknologi Nusantara,Sme,External SSD 1TB,Accessories,Sumatera Utara,Offline,Cod,Ahmad Fauzi,41,1081741,4.0,1774055,44351381,42577326,4.4
ORD-01616,2023-02-07,2023,2,February,Q1,CV Karya Indah,Government,Wireless Mouse,Peripherals,Dki Jakarta,Online,Cod,Budi Santoso,33,352399,30.0,3488750,11629167,8140417,2.2
ORD-02235,2023-02-07,2023,2,February,Q1,-,Retail,External SSD 1TB,Accessories,Dki Jakarta,Offline,Cod,Budi Santoso,44,1081199,12.0,5708731,47572756,41864025,2.8
ORD-00943,2023-02-07,2023,2,February,Q1,UD Sentosa,Sme,Webcam HD,Furniture,Sulawesi Selatan,Offline,Qris,Budi Santoso,23,550705,29.0,3673202,12666215,8993013,3.6
ORD-00560,2023-02-07,2023,2,February,Q1,Yayasan Pendidikan Maju,Corporate,External SSD 1TB,Furniture,Kalimantan Timur,Online,Cod,Riko Pratama,33,989276,28.0,9140910,32646108,23505198,1.8
ORD-01862,2023-02-08,2023,2,February,Q1,Ibu Sari Dewi,Government,Laptop Pro X1,Peripherals,Bali,Offline,Kartu Kredit,Siti Rahayu,27,7596304,11.0,22561023,205100208,182539185,1.6
ORD-01195,2023-02-09,2023,2,February,Q1,UD Sentosa,Retail,Mechanical Keyboard,Peripherals,Dki Jakarta,Online,Qris,Budi Santoso,38,67163100,6.0,153131868,2552197800,2399065932,3.8
ORD-01439,2023-02-10,2023,2,February,Q1,PT Teknologi Nusantara,Retail,Webcam HD,Accessories,Jawa Timur,Online,Transfer Bank,Siti Rahayu,27,429014,0.0,0,11583378,11583378,3.1
ORD-00446,2023-02-11,2023,2,February,Q1,Yayasan Pendidikan Maju,Sme,4K Monitor,Furniture,Jawa Timur,Offline,Transfer Bank,Fajar Kurniawan,35,4831558,0.0,0,169104530,169104530,3.1
ORD-01891,2023-02-11,2023,2,February,Q1,PT Maju Bersama,Corporate,Laptop Pro X2,Furniture,Jawa Timur,Online,Kartu Kredit,Siti Rahayu,31,9109646,10.0,28239903,282399026,254159123,3.9
ORD-01529,2023-02-12,2023,2,February,Q1,Ibu Sari Dewi,Sme,Desk Lamp LED,Accessories,Bali,Offline,Kartu Kredit,Siti Rahayu,26,437234,1.0,113681,11368084,11254403,4.2
ORD-00313,2023-02-12,2023,2,February,Q1,Koperasi Sejahtera,Corporate,Webcam HD,Accessories,Jawa Barat,Offline,Qris,Riko Pratama,32,447904,21.0,3009915,14332928,11323013,2.2
ORD-01716,2023-02-12,2023,2,February,Q1,CV Karya Indah,Retail,Laptop Pro X1,Peripherals,Jawa Timur,Offline,Kartu Kredit,Ahmad Fauzi,35,10899739,8.0,30519269,381490865,350971596,4.9
ORD-01879,2023-02-13,2023,2,February,Q1,Toko Elektronik Sukses,Sme,Wireless Mouse,Peripherals,Kalimantan Timur,Online,Cod,Fajar Kurniawan,39,409972,13.0,2078558,15988908,13910350,3.1
ORD-02486,2023-02-13,2023,2,February,Q1,Koperasi Sejahtera,Corporate,Noise Cancelling Headset,Furniture,Sulawesi Selatan,Offline,Qris,Ahmad Fauzi,1,1058477,0.0,0,1058477,1058477,2.1
ORD-01810,2023-02-13,2023,2,February,Q1,Toko Elektronik Sukses,Corporate,Desk Lamp LED,Accessories,Bali,Online,Qris,Ahmad Fauzi,33,309905,7.0,715881,10226865,9510984,1.6
ORD-00605,2023-02-13,2023,2,February,Q1,Yayasan Pendidikan Maju,Government,Desk Lamp LED,Accessories,Sumatera Utara,Online,Qris,Fajar Kurniawan,8,46833000,23.0,86172720,374664000,288491280,2.4
ORD-02130,2023-02-14,2023,2,February,Q1,Bapak Joko Widodo,Sme,Wireless Mouse,Peripherals,Sumatera Utara,Online,Cod,Riko Pratama,33,433513,28.0,4005660,14305929,10300269,3.1
ORD-00268,2023-02-14,2023,2,February,Q1,Bapak Joko Widodo,Corporate,Wireless Mouse,Electronics,Dki Jakarta,Online,Kartu Kredit,Siti Rahayu,11,395662,18.0,783411,4352282,3568871,4.9
ORD-02382,2023-02-14,2023,2,February,Q1,Bapak Joko Widodo,Sme,Wireless Mouse,Electronics,Sulawesi Selatan,Offline,Transfer Bank,Fajar Kurniawan,1,339557,6.0,20373,339557,319184,2.7
ORD-01315,2023-02-14,2023,2,February,Q1,CV Karya Indah,Retail,Laptop Pro X1,Furniture,Jawa Timur,Offline,Kartu Kredit,Siti Rahayu,7,10969547,0.0,0,76786829,76786829,3.0
ORD-00856,2023-02-15,2023,2,February,Q1,CV Karya Indah,Retail,4K Monitor,Peripherals,Jawa Barat,Offline,Qris,Nurul Hidayah,49,4249991,0.0,0,208249559,208249559,3.9
ORD-00083,2023-02-15,2023,2,February,Q1,Yayasan Pendidikan Maju,Sme,USB-C Hub,Accessories,Bali,Online,Cod,Siti Rahayu,29,337472,10.0,978668,9786684,8808015,1.3
ORD-00876,2023-02-16,2023,2,February,Q1,Ibu Sari Dewi,Sme,Wireless Mouse,Accessories,Jawa Barat,Offline,Transfer Bank,Budi Santoso,44,425692,0.0,0,18730448,18730448,1.8
ORD-02274,2023-02-16,2023,2,February,Q1,UD Sentosa,Corporate,Mechanical Keyboard,Furniture,Sulawesi Selatan,Offline,Qris,Fajar Kurniawan,30,743494,17.0,3791819,22304820,18513001,3.6
ORD-00066,2023-02-17,2023,2,February,Q1,Toko Elektronik Sukses,Government,Webcam HD,Peripherals,Jawa Timur,Online,Cod,Budi Santoso,34,617819,30.0,6301754,21005846,14704092,1.6
ORD-01008,2023-02-17,2023,2,February,Q1,Ibu Sari Dewi,Retail,4K Monitor,Peripherals,Sumatera Utara,Offline,Cod,Nurul Hidayah,7,4364569,27.0,8249035,30551983,22302948,3.9
ORD-02035,2023-02-18,2023,2,February,Q1,Bapak Joko Widodo,Government,Noise Cancelling Headset,Electronics,Dki Jakarta,Online,Cod,Siti Rahayu,15,1124574,0.0,0,16868610,16868610,2.1
ORD-00955,2023-02-19,2023,2,February,Q1,PT Maju Bersama,Corporate,Gaming Chair,Peripherals,Dki Jakarta,Offline,Qris,Budi Santoso,2,3370576,9.0,606704,6741152,6134448,4.2
ORD-02443,2023-02-20,2023,2,February,Q1,Ibu Sari Dewi,Corporate,USB-C Hub,Peripherals,Sulawesi Selatan,Online,Cod,Riko Pratama,41,346783,0.0,0,14218103,14218103,3.1
ORD-01294,2023-02-20,2023,2,February,Q1,Bapak Joko Widodo,Retail,USB-C Hub,Furniture,Dki Jakarta,Online,Qris,Fajar Kurniawan,16,256882,10.0,411011,4110112,3699101,3.1
ORD-00137,2023-02-21,2023,2,February,Q1,Yayasan Pendidikan Maju,Sme,Desk Lamp LED,Peripherals,Sulawesi Selatan,Online,Kartu Kredit,Budi Santoso,30,466954,0.0,0,14008620,14008620,3.3
ORD-02437,2023-02-23,2023,2,February,Q1,Ibu Sari Dewi,Sme,Laptop Pro X2,Peripherals,Sumatera Utara,Offline,Cod,Riko Pratama,5,9489340,7.0,3321269,47446700,44125431,1.8
ORD-00265,2023-02-23,2023,2,February,Q1,Koperasi Sejahtera,Government,Webcam HD,Accessories,Jawa Timur,Online,Qris,Siti Rahayu,24,51586300,19.0,235233528,1238071200,1002837672,2.5
ORD-02037,2023-02-24,2023,2,February,Q1,Bapak Joko Widodo,Retail,Noise Cancelling Headset,Peripherals,Jawa Barat,Online,Cod,Ahmad Fauzi,21,1303379,0.0,0,27370959,27370959,2.4
ORD-01943,2023-02-24,2023,2,February,Q1,PT Teknologi Nusantara,Government,Mechanical Keyboard,Furniture,Jawa Timur,Online,Transfer Bank,Dewi Lestari,48,834801,0.0,0,40070448,40070448,4.0
ORD-02105,2023-02-26,2023,2,February,Q1,PT Global Digital,Government,Wireless Mouse,Peripherals,Sumatera Utara,Offline,Transfer Bank,Ahmad Fauzi,33,451552,23.0,3427280,14901216,11473936,4.9
ORD-02417,2023-02-26,2023,2,February,Q1,Toko Elektronik Sukses,Retail,Mechanical Keyboard,Accessories,Sulawesi Selatan,Offline,Transfer Bank,Siti Rahayu,42,823631,6.0,2075550,34592502,32516952,4.7
ORD-02021,2023-02-26,2023,2,February,Q1,Toko Elektronik Sukses,Corporate,External SSD 1TB,Peripherals,Bali,Online,Cod,Dewi Lestari,44,839089,2.0,738398,36919916,36181518,1.4
ORD-01601,2023-02-27,2023,2,February,Q1,PT Maju Bersama,Government,External SSD 1TB,Accessories,Sumatera Utara,Offline,Qris,Siti Rahayu,21,1064889,0.0,0,22362669,22362669,2.9
ORD-00365,2023-02-27,2023,2,February,Q1,Bapak Joko Widodo,Government,Wireless Mouse,Furniture,Kalimantan Timur,Offline,Qris,Budi Santoso,13,393509,13.0,665030,5115617,4450587,4.2
ORD-00275,2023-02-27,2023,2,February,Q1,PT Maju Bersama,Sme,Webcam HD,Furniture,Sumatera Utara,Offline,Transfer Bank,Budi Santoso,44,469349,0.0,0,20651356,20651356,1.5
ORD-00731,2023-02-28,2023,2,February,Q1,Yayasan Pendidikan Maju,Sme,Laptop Pro X1,Accessories,Kalimantan Timur,Online,Cod,Dewi Lestari,46,9941449,19.0,86888264,457306654,370418390,3.2
ORD-02106,2023-03-01,2023,3,March,Q1,Yayasan Pendidikan Maju,Government,Webcam HD,Electronics,Jawa Timur,Online,Kartu Kredit,Riko Pratama,1,656507,23.0,150997,656507,505510,2.7
ORD-01761,2023-03-01,2023,3,March,Q1,Toko Elektronik Sukses,Retail,Laptop Pro X1,Furniture,Jawa Timur,Online,Transfer Bank,Ahmad Fauzi,41,746564400,0.0,0,30609140400,30609140400,4.9
ORD-02375,2023-03-02,2023,3,March,Q1,PT Teknologi Nusantara,Government,Noise Cancelling Headset,Electronics,Jawa Barat,Online,Kartu Kredit,Nurul Hidayah,18,118253700,0.0,0,2128566600,2128566600,4.5
ORD-02246,2023-03-02,2023,3,March,Q1,PT Global Digital,Corporate,Gaming Chair,Electronics,Jawa Barat,Offline,Qris,Budi Santoso,2,2843060,0.0,0,5686120,5686120,4.1
ORD-00961,2023-03-04,2023,3,March,Q1,Yayasan Pendidikan Maju,Retail,4K Monitor,Furniture,Bali,Offline,Transfer Bank,Siti Rahayu,49,3488528,0.0,0,170937872,170937872,2.9
ORD-00719,2023-03-04,2023,3,March,Q1,PT Global Digital,Sme,Mechanical Keyboard,Peripherals,Kalimantan Timur,Offline,Qris,Nurul Hidayah,6,583868,17.0,595545,3503208,2907663,3.0
ORD-00153,2023-03-04,2023,3,March,Q1,Koperasi Sejahtera,Retail,Noise Cancelling Headset,Electronics,Jawa Timur,Offline,Kartu Kredit,Ahmad Fauzi,50,1454204,20.0,14542040,72710200,58168160,3.3
ORD-01590,2023-03-04,2023,3,March,Q1,Toko Elektronik Sukses,Government,Webcam HD,Peripherals,Dki Jakarta,Online,Cod,Siti Rahayu,37,651962,6.0,1447356,24122594,22675238,2.7
ORD-01451,2023-03-07,2023,3,March,Q1,PT Maju Bersama,Sme,Laptop Pro X2,Peripherals,Jawa Timur,Online,Transfer Bank,Nurul Hidayah,32,10078127,19.0,61275012,322500064,261225052,2.5
ORD-01085,2023-03-08,2023,3,March,Q1,Koperasi Sejahtera,Government,Wireless Mouse,Accessories,Jawa Barat,Online,Qris,Budi Santoso,26,360463,8.0,749763,9372038,8622275,1.1
ORD-02351,2023-03-08,2023,3,March,Q1,Koperasi Sejahtera,Retail,Gaming Chair,Accessories,Kalimantan Timur,Offline,Kartu Kredit,Nurul Hidayah,36,3338854,0.0,0,120198744,120198744,4.4
ORD-01290,2023-03-08,2023,3,March,Q1,Yayasan Pendidikan Maju,Retail,External SSD 1TB,Accessories,Dki Jakarta,Offline,Kartu Kredit,Siti Rahayu,37,1111022,5.0,2055391,41107814,39052423,2.1
ORD-00157,2023-03-08,2023,3,March,Q1,Yayasan Pendidikan Maju,Retail,External SSD 1TB,Accessories,Kalimantan Timur,Online,Qris,Budi Santoso,48,986203,11.0,5207152,47337744,42130592,2.9
ORD-02328,2023-03-10,2023,3,March,Q1,Bapak Joko Widodo,Retail,Laptop Pro X1,Accessories,Sulawesi Selatan,Offline,Kartu Kredit,Budi Santoso,19,8380658,9.0,14330925,159232502,144901577,1.4
ORD-02108,2023-03-10,2023,3,March,Q1,UD Sentosa,Sme,Wireless Mouse,Peripherals,Jawa Timur,Offline,Transfer Bank,Ahmad Fauzi,8,386705,2.0,61873,3093640,3031767,3.1500000000000004
ORD-01867,2023-03-10,2023,3,March,Q1,Koperasi Sejahtera,Sme,Laptop Pro X1,Electronics,Sumatera Utara,Online,Cod,Budi Santoso,12,10475712,0.0,0,125708542,125708542,1.5
ORD-01434,2023-03-11,2023,3,March,Q1,Toko Elektronik Sukses,Sme,Wireless Mouse,Electronics,Jawa Barat,Offline,Transfer Bank,Ahmad Fauzi,2,343987,17.0,116956,687974,571018,3.1500000000000004
ORD-01689,2023-03-11,2023,3,March,Q1,PT Teknologi Nusantara,Corporate,USB-C Hub,Peripherals,Dki Jakarta,Online,Cod,Budi Santoso,40,31919500,6.0,76606800,1276780000,1200173200,3.5
ORD-00907,2023-03-12,2023,3,March,Q1,Bapak Joko Widodo,Retail,Desk Lamp LED,Peripherals,Sumatera Utara,Offline,Transfer Bank,Budi Santoso,43,434074,28.0,5226251,18665182,13438931,3.3
ORD-02219,2023-03-12,2023,3,March,Q1,UD Sentosa,Corporate,Mechanical Keyboard,Electronics,Kalimantan Timur,Online,Transfer Bank,Budi Santoso,25,570507,25.0,3565668,14262672,10697004,3.0
ORD-02193,2023-03-12,2023,3,March,Q1,Yayasan Pendidikan Maju,Retail,USB-C Hub,Electronics,Jawa Timur,Offline,Qris,Budi Santoso,21,235237,2.0,98800,4939977,4841177,5.0
ORD-01752,2023-03-12,2023,3,March,Q1,,Corporate,4K Monitor,Accessories,Kalimantan Timur,Offline,Qris,Budi Santoso,15,4814343,7.0,5055060,72215145,67160085,3.0
ORD-00130,2023-03-12,2023,3,March,Q1,-,Corporate,Desk Lamp LED,Peripherals,Dki Jakarta,Offline,Cod,Riko Pratama,33,330195,5.0,544822,10896435,10351613,3.8
ORD-02178,2023-03-13,2023,3,March,Q1,Ibu Sari Dewi,Corporate,Noise Cancelling Headset,Electronics,Dki Jakarta,Online,Cod,Siti Rahayu,45,964422,21.0,9113788,43398990,34285202,1.3
ORD-00476,2023-03-14,2023,3,March,Q1,,Corporate,Mechanical Keyboard,Peripherals,Jawa Timur,Offline,Transfer Bank,Fajar Kurniawan,39,568822,0.0,0,22184058,22184058,2.4
ORD-02129,2023-03-15,2023,3,March,Q1,,Retail,Laptop Pro X1,Furniture,Jawa Barat,Online,Qris,Riko Pratama,17,9245061,21.0,33004868,157166037,124161169,4.7
ORD-00291,2023-03-15,2023,3,March,Q1,Yayasan Pendidikan Maju,Retail,USB-C Hub,Furniture,Sumatera Utara,Offline,Transfer Bank,Siti Rahayu,20,329340,0.0,0,6586800,6586800,2.9
ORD-01457,2023-03-15,2023,3,March,Q1,Toko Elektronik Sukses,Corporate,4K Monitor,Electronics,Jawa Barat,Online,Kartu Kredit,Ahmad Fauzi,31,3474771,0.0,0,107717901,107717901,5.0
ORD-00591,2023-03-17,2023,3,March,Q1,PT Maju Bersama,Corporate,External SSD 1TB,Peripherals,Jawa Timur,Online,Qris,Fajar Kurniawan,39,1144281,18.0,8032853,44626959,36594106,2.9
ORD-01907,2023-03-17,2023,3,March,Q1,Ibu Sari Dewi,Corporate,Gaming Chair,Peripherals,Dki Jakarta,Online,Qris,Ahmad Fauzi,36,3155006,27.0,30666658,113580216,82913558,2.4
ORD-02312,2023-03-18,2023,3,March,Q1,UD Sentosa,Corporate,External SSD 1TB,Peripherals,Bali,Offline,Transfer Bank,Ahmad Fauzi,9,969198,29.0,2529607,8722782,6193175,2.9
ORD-00425,2023-03-19,2023,3,March,Q1,Bapak Joko Widodo,Government,Noise Cancelling Headset,Peripherals,Sumatera Utara,Online,Cod,Ahmad Fauzi,14,1215744,5.0,851021,17020416,16169395,2.7
ORD-02220,2023-03-19,2023,3,March,Q1,Yayasan Pendidikan Maju,Retail,Mechanical Keyboard,Furniture,Jawa Timur,Online,Cod,Siti Rahayu,33,756027,6.0,1496933,24948891,23451958,3.5
ORD-00607,2023-03-20,2023,3,March,Q1,,Retail,Mechanical Keyboard,Furniture,Jawa Timur,Online,Transfer Bank,Fajar Kurniawan,6,652852,19.0,744251,3917112,3172861,3.5
ORD-01015,2023-03-22,2023,3,March,Q1,UD Sentosa,Sme,Wireless Mouse,Peripherals,Jawa Barat,Online,Transfer Bank,Budi Santoso,48,38074300,2.0,36551328,1827566400,1791015072,4.4
ORD-00486,2023-03-22,2023,3,March,Q1,PT Teknologi Nusantara,Sme,Webcam HD,Furniture,Jawa Barat,Online,Transfer Bank,Riko Pratama,6,476208,21.0,600022,2857248,2257226,2.7
